system,d,m,T1_us,Tphi_us,t_opt,Ps
Qubit,2,3,2.0,20.0,2,0.8949608982199686
Qutrit,3,2,2.0,20.0,2,0.9126228635256712
Qubit,2,3,2.940503028138228,20.0,2,0.9093254894303966
Qutrit,3,2,2.940503028138228,20.0,2,0.9324183448489733
Qubit,2,3,4.323279029245044,20.0,2,0.9193658266958744
Qutrit,3,2,4.323279029245044,20.0,2,0.9463161405986125
Qubit,2,3,6.356307538490776,20.0,2,0.9263213831411741
Qutrit,3,2,6.356307538490776,20.0,2,0.9559737980643388
Qubit,2,3,9.345370782354987,20.0,2,0.9311112961964731
Qutrit,3,2,9.345370782354987,20.0,2,0.9626387304271707
Qubit,2,3,13.740045542294682,20.0,2,0.9343966601934716
Qutrit,3,2,13.740045542294682,20.0,2,0.9672168796267656
Qubit,2,3,20.201322761937327,20.0,2,0.9366439810559662
Qutrit,3,2,20.201322761937327,20.0,2,0.9703516730818776
Qubit,2,3,29.701025376937217,20.0,2,0.9381784288855641
Qutrit,3,2,29.701025376937217,20.0,2,0.9724935522529806
Qubit,2,3,43.66797752984712,20.0,2,0.9392248359132617
Qutrit,3,2,43.66797752984712,20.0,2,0.9739548796912462
Qubit,2,3,64.20291007959379,20.0,2,0.9399378264340115
Qutrit,3,2,64.20291007959379,20.0,2,0.9749509035734523
Qubit,2,3,94.39442575216596,20.0,2,0.9404233594037286
Qutrit,3,2,94.39442575216596,20.0,2,0.975629324884504
Qubit,2,3,138.78354738180653,20.0,2,0.9407538697858833
Qutrit,3,2,138.78354738180653,20.0,2,0.9760912061874608
Qubit,2,3,204.04672066598357,20.0,2,0.9409787943589791
Qutrit,3,2,204.04672066598357,20.0,2,0.9764055653302408
Qubit,2,3,300.0,20.0,2,0.9411318364211182
Qutrit,3,2,300.0,20.0,2,0.9766194747370832
