system,d,m,T1_us,Tphi_us,t_opt,Ps
Qubit,2,3,50.0,2.0,2,0.9060025300271739
Qutrit,3,2,50.0,2.0,2,0.9187242538334085
Qubit,2,3,50.0,2.940503028138228,2,0.9176943535071703
Qutrit,3,2,50.0,2.940503028138228,2,0.9379101027302508
Qubit,2,3,50.0,4.323279029245044,2,0.9257809088995284
Qutrit,3,2,50.0,4.323279029245044,2,0.951320646938201
Qubit,2,3,50.0,6.356307538490776,2,0.9313442079340459
Qutrit,3,2,50.0,6.356307538490776,2,0.960613878839026
Qubit,2,3,50.0,9.345370782354987,2,0.9351576839818351
Qutrit,3,2,50.0,9.345370782354987,2,0.9670158641444915
Qubit,2,3,50.0,13.740045542294682,2,0.93776522668807
Qutrit,3,2,50.0,13.740045542294682,2,0.971408255894008
Qubit,2,3,50.0,20.201322761937327,2,0.9395451730047802
Qutrit,3,2,50.0,20.201322761937327,2,0.9744135283837607
Qubit,2,3,50.0,29.701025376937217,2,0.9407587903578101
Qutrit,3,2,50.0,29.701025376937217,2,0.9764658501201842
Qubit,2,3,50.0,43.66797752984712,2,0.9415856195966422
Qutrit,3,2,50.0,43.66797752984712,2,0.9778655898884614
Qubit,2,3,50.0,64.20291007959379,2,0.9421486319234327
Qutrit,3,2,50.0,64.20291007959379,2,0.9788194131336416
Qubit,2,3,50.0,94.39442575216596,2,0.9425318642469639
Qutrit,3,2,50.0,94.39442575216596,2,0.9794689875831623
Qubit,2,3,50.0,138.78354738180653,2,0.9427926590697804
Qutrit,3,2,50.0,138.78354738180653,2,0.9799111820461571
Qubit,2,3,50.0,204.04672066598357,2,0.9429701036496279
Qutrit,3,2,50.0,204.04672066598357,2,0.9802121203380719
Qubit,2,3,50.0,300.0,2,0.9430908229779555
Qutrit,3,2,50.0,300.0,2,0.980416887265186
